uid,S-MHA Error,S-MHA Uncertainty,Testing Fold,E-MHA Error,E-MHA Uncertainty,E-CPV Error,E-CPV Uncertainty,E-CPV Uncertainty bins,E-MHA Uncertainty bins,S-MHA Uncertainty bins
366_F0,6.708203932499369,0.44506326,0,9.433981132056603,0.2841368913650512,8.48528137423857,4.468218874931336,0,2,3
208_F0,81.34494452638098,0.6697194,0,44.7213595499958,0.1500065267086029,377.4135662638533,677.0672058105469,9,9,0
318_F0,4.242640687119285,0.4385551,0,4.123105625617661,0.3847324073314667,3.1622776601683795,4.155128216743469,0,0,3
195_F0,123.03657992645928,0.20769452,0,124.00403219250576,0.0583230942487716,63.50590523722971,55.78271484375,9,9,9
194_F0,23.43074902771996,0.14865942,0,93.02150289046077,0.0965582013130188,48.41487374764082,40.977873992919925,9,9,9
336_F0,3.0,0.33623073,0,11.180339887498947,0.1993310198187828,8.06225774829855,7.698952007293701,4,8,6
329_F0,91.92388155425118,0.35979876,0,106.16967551989596,0.0990010559558868,34.36568055487916,55.3225715637207,9,9,5
399_F0,18.43908891458577,0.40614995,0,16.278820596099706,0.2289814263582229,17.029386365926403,8.92021722793579,6,6,4
013_F0,25.495097567963924,0.42766476,0,25.495097567963924,0.2564856380224228,17.46424919657298,9.862518405914306,7,5,3
125_F0,17.0,0.44243723,0,5.0,0.284237676858902,8.94427190999916,7.642641878128051,4,2,3
252_F0,11.6619037896906,0.29425743,0,22.02271554554524,0.2592837825417519,17.4928556845359,7.611881160736084,4,5,8
203_F0,17.08800749063506,0.42481232,0,5.0,0.2310898408293724,11.31370849898476,10.879192733764649,8,6,3
114_F0,6.4031242374328485,0.29096273,0,6.082762530298219,0.199123403429985,6.082762530298219,11.724976921081543,8,8,8
061_F0,54.67174773134658,0.2496779,0,25.0,0.1477005451917648,38.07886552931954,16.111575746536253,8,9,9
248_F0,5.830951894845301,0.5763179,0,7.071067811865476,0.3483640342950821,2.23606797749979,5.389685153961182,1,0,0
064_F0,25.059928172283332,0.3279128,0,30.610455730027933,0.2540061861276627,27.65863337187866,7.4765965938568115,4,6,6
234_F0,8.602325267042627,0.25651795,0,6.324555320336759,0.1961367785930633,7.615773105863909,7.121071434020996,4,8,9
393_F0,17.46424919657298,0.64718413,0,15.297058540778355,0.2951951950788498,20.808652046684813,8.033794331550599,5,2,0
332_F0,19.1049731745428,0.36629942,0,24.08318915758459,0.2570474982261658,20.615528128088304,3.2907090902328493,0,5,5
348_F0,11.704699910719626,0.33614302,0,15.811388300841896,0.2095939666032791,24.08318915758459,36.150934028625485,9,7,6
243_F0,10.770329614269007,0.36471322,0,8.246211251235321,0.3170964330434799,8.54400374531753,3.73931987285614,0,1,5
365_F0,18.027756377319943,0.46317908,0,18.24828759089466,0.2633707642555237,17.26267650163207,4.036067962646484,0,4,2
235_F0,17.46424919657298,0.40744415,0,10.0,0.2742234498262405,9.486832980505138,6.942009305953979,4,3,4
069_F0,9.899494936611664,0.3952737,0,12.806248474865695,0.248458831012249,10.770329614269007,7.47944746017456,4,6,4
265_F0,34.17601498127012,0.6272601,0,30.870698080866266,0.329384422302246,28.16025568065745,5.11107120513916,1,0,0
058_F0,24.75883680627989,0.3647164,0,18.43908891458577,0.2259751170873642,16.401219466856727,12.263015818595886,8,7,5
342_F0,9.219544457292889,0.3323512,0,11.704699910719626,0.2132107198238372,10.295630140987,8.652041625976562,5,7,6
198_F0,21.840329667841555,0.34498164,0,11.40175425099138,0.2797990500926971,8.06225774829855,9.073112869262696,6,2,6
044_F0,15.297058540778355,0.37631896,0,16.492422502470642,0.2511103004217148,30.01666203960727,31.91900520324707,8,6,5
007_F0,8.246211251235321,0.40715674,0,10.0,0.2442384958267212,12.206555615733702,5.318708801269532,1,6,4
