uid,S-MHA Error,S-MHA Uncertainty,Testing Fold,E-MHA Error,E-MHA Uncertainty,E-CPV Error,E-CPV Uncertainty,E-CPV Uncertainty bins,E-MHA Uncertainty bins,S-MHA Uncertainty bins
366_F0,16.1245154965971,0.32555035,0,3.605551275463989,0.3811730682849884,5.0990195135927845,5.12206997871399,2,1,6
208_F0,10.770329614269007,0.6530437,0,12.083045973594572,0.4082978904247284,10.198039027185567,7.8633091926574705,6,0,0
318_F0,27.29468812791236,0.41815194,0,28.0178514522438,0.3759361922740936,30.59411708155671,6.900376510620117,6,1,2
195_F0,13.892443989449804,0.35334417,0,8.06225774829855,0.3357897073030472,5.385164807134504,7.916203451156616,6,4,6
194_F0,22.47220505424423,0.42911792,0,16.401219466856727,0.3584473773837089,19.235384061671343,4.901654052734375,2,2,2
336_F0,16.1245154965971,0.3870876,0,17.4928556845359,0.2509417504072189,6.0,31.84905815124512,8,9,4
329_F0,2.23606797749979,0.33916375,0,7.615773105863909,0.3068253397941589,9.055385138137416,6.54639368057251,5,6,6
399_F0,25.495097567963924,0.40870523,0,22.47220505424423,0.3625810623168945,24.596747752497688,3.660112619400024,1,2,3
013_F0,18.027756377319943,0.36282375,0,12.206555615733702,0.3514283895492553,13.892443989449804,6.318288326263428,4,3,5
125_F0,110.8873302050329,0.20633976,0,25.55386467836128,0.19031603038311,37.65634076752546,31.961205673217773,8,9,9
252_F0,3.605551275463989,0.40947184,0,6.082762530298219,0.3448999434709549,6.708203932499369,2.3871329545974733,0,3,3
203_F0,3.1622776601683795,0.4917583,0,3.0,0.3511920839548111,3.605551275463989,4.312716388702393,1,3,1
114_F0,1.0,0.44570622,0,7.071067811865476,0.3633015215396881,9.219544457292889,7.839636516571045,6,2,1
061_F0,8.06225774829855,0.42566323,0,11.180339887498947,0.3112513363361359,33.421549934136806,37.48171501159668,9,5,2
248_F0,10.44030650891055,0.36239073,0,13.0,0.3694586932659149,14.560219778561036,2.6491045713424684,0,1,5
064_F0,5.385164807134504,0.56462145,0,9.848857801796104,0.3852546751499176,8.246211251235321,7.225004386901856,6,1,0
234_F0,3.0,0.28747284,0,12.206555615733702,0.3068933665752411,8.48528137423857,7.239459800720215,6,6,8
393_F0,5.0990195135927845,0.36745408,0,3.605551275463989,0.3391896486282348,23.08679276123039,32.7221622467041,8,4,5
332_F0,14.0,0.3329578,0,10.44030650891055,0.2900773227214813,13.152946437965904,7.15362057685852,6,7,6
348_F0,23.021728866442675,0.33305684,0,17.11724276862369,0.2609953492879867,17.029386365926403,7.259083557128906,6,8,6
