uid,S-MHA Error,S-MHA Uncertainty,Testing Fold,E-MHA Error,E-MHA Uncertainty,E-CPV Error,E-CPV Uncertainty,E-CPV Uncertainty bins,E-MHA Uncertainty bins,S-MHA Uncertainty bins
366_F0,6.4031242374328485,0.42497095,0,2.23606797749979,0.3019677639007568,2.0,6.460788345336914,11,5,2
208_F0,67.80117993073571,0.21182017,0,41.88078318274385,0.1096104502677917,13.92838827718412,58.17991638183594,19,19,19
318_F0,28.46049894151541,0.3667603,0,11.704699910719626,0.2095384329557418,22.47220505424423,29.50579643249512,18,18,11
195_F0,5.0990195135927845,0.36879432,0,3.0,0.3123972356319427,4.0,4.084796380996704,4,4,11
194_F0,124.61540835707277,0.9358819,0,32.01562118716424,0.2570607632398605,54.08326913195984,32.1336145401001,19,15,0
336_F0,12.041594578792296,0.45564553,0,3.1622776601683795,0.3260637730360031,7.071067811865476,4.2,5,1,1
329_F0,5.0,0.4352369,0,5.385164807134504,0.321999379992485,4.0,3.622265625,2,1,2
399_F0,10.63014581273465,0.40386322,0,9.0,0.3003738611936569,6.324555320336759,5.5599284172058105,8,5,5
013_F0,2.0,0.47148877,0,10.295630140987,0.3293032944202423,9.848857801796104,6.700028944015503,11,1,1
125_F0,13.41640786499874,0.40745634,0,14.317821063276352,0.2998744577169418,8.94427190999916,6.765074825286865,11,5,5
252_F0,10.816653826391969,0.3365292,0,3.605551275463989,0.2685722768306732,5.0,6.626878356933593,11,13,13
203_F0,12.083045973594572,0.44674852,0,8.54400374531753,0.2974063247442245,10.295630140987,6.110239028930664,11,6,1
114_F0,7.280109889280518,0.31723243,0,9.0,0.2641328692436218,9.219544457292889,4.007905912399292,4,14,15
061_F0,12.083045973594572,0.27575946,0,10.816653826391969,0.2015705645084381,7.071067811865476,12.43633394241333,16,18,17
248_F0,5.656854249492381,0.4297657,0,3.605551275463989,0.3467612504959106,6.082762530298219,3.4656904697418214,1,0,2
064_F0,1.0,0.44342384,0,3.1622776601683795,0.3485650718212127,0.0,3.85039644241333,3,0,1
234_F0,16.278820596099706,0.27547076,0,13.41640786499874,0.2057830363512039,17.72004514666935,27.293082427978515,18,18,17
393_F0,7.810249675906654,0.3889429,0,7.810249675906654,0.259038308262825,4.47213595499958,5.038807773590088,7,15,8
332_F0,12.529964086141668,0.39837366,0,13.601470508735444,0.2780528858304024,21.095023109728988,11.415417671203612,15,10,6
348_F0,9.433981132056603,0.34744358,0,11.6619037896906,0.2804288268089294,9.486832980505138,4.846045064926147,6,10,13
243_F0,2.23606797749979,0.4105104,0,3.1622776601683795,0.2806025117635727,4.0,4.076217699050903,4,10,5
365_F0,3.1622776601683795,0.40136337,0,14.212670403551895,0.260919126868248,7.615773105863909,7.488539600372315,12,14,5
235_F0,88.61715409558128,0.20614408,0,14.7648230602334,0.1866356194019317,8.94427190999916,32.579976844787595,19,19,19
069_F0,8.54400374531753,0.42062458,0,6.082762530298219,0.3088100135326385,6.708203932499369,2.497056245803833,0,4,3
265_F0,4.123105625617661,0.45788756,0,5.385164807134504,0.2917858719825744,3.1622776601683795,4.305245971679687,5,7,1
058_F0,8.48528137423857,0.2531704,0,4.0,0.2363075613975525,4.47213595499958,9.113132095336914,14,17,18
342_F0,8.54400374531753,0.36451292,0,9.055385138137416,0.2564781785011291,6.0,5.25638518333435,7,15,11
198_F0,5.385164807134504,0.4833467,0,4.0,0.328087255358696,3.0,4.153046989440918,4,1,0
044_F0,8.48528137423857,0.37785146,0,8.94427190999916,0.3150105684995651,6.4031242374328485,3.413680648803711,1,3,10
007_F0,2.0,0.4923593,0,5.385164807134504,0.3275649935007095,7.280109889280518,4.148592376708985,4,1,0
351_F0,5.656854249492381,0.4233949,0,13.0,0.2863079726696014,10.295630140987,5.897354030609131,10,9,2
